date,open,high,low,close,volume,date,return_rate
2002-01-04 00:00:00+00:00,1316.455,1316.455,1316.455,1316.455,0.0,2002-01-04 00:00:00+00:00,
2002-01-07 00:00:00+00:00,1302.084,1302.084,1302.084,1302.084,0.0,2002-01-07 00:00:00+00:00,-0.010916438465424089
2002-01-08 00:00:00+00:00,1292.714,1292.714,1292.714,1292.714,0.0,2002-01-08 00:00:00+00:00,-0.0071961563155680565
2002-01-09 00:00:00+00:00,1272.645,1272.645,1272.645,1272.645,0.0,2002-01-09 00:00:00+00:00,-0.015524702293005229
2002-01-10 00:00:00+00:00,1281.261,1281.261,1281.261,1281.261,0.0,2002-01-10 00:00:00+00:00,0.006770151927678171
2002-01-11 00:00:00+00:00,1249.814,1249.814,1249.814,1249.814,0.0,2002-01-11 00:00:00+00:00,-0.024543789282589486
2002-01-14 00:00:00+00:00,1205.146,1205.146,1205.146,1205.146,0.0,2002-01-14 00:00:00+00:00,-0.035739718070048915
2002-01-15 00:00:00+00:00,1186.433,1186.433,1186.433,1186.433,0.0,2002-01-15 00:00:00+00:00,-0.015527579231064091
2002-01-16 00:00:00+00:00,1201.877,1201.877,1201.877,1201.877,0.0,2002-01-16 00:00:00+00:00,0.013017169953971239
2002-01-17 00:00:00+00:00,1152.148,1152.148,1152.148,1152.148,0.0,2002-01-17 00:00:00+00:00,-0.041376114194713806
2002-01-18 00:00:00+00:00,1149.483,1149.483,1149.483,1149.483,0.0,2002-01-18 00:00:00+00:00,-0.0023130708901981027
2002-01-21 00:00:00+00:00,1108.61,1108.61,1108.61,1108.61,0.0,2002-01-21 00:00:00+00:00,-0.035557724646645535
2002-01-22 00:00:00+00:00,1109.994,1109.994,1109.994,1109.994,0.0,2002-01-22 00:00:00+00:00,0.0012484101712955996
2002-01-23 00:00:00+00:00,1183.154,1183.154,1183.154,1183.154,0.0,2002-01-23 00:00:00+00:00,0.06591026618161908
2002-01-24 00:00:00+00:00,1189.583,1189.583,1189.583,1189.583,0.0,2002-01-24 00:00:00+00:00,0.005433781232198081
2002-01-25 00:00:00+00:00,1189.428,1189.428,1189.428,1189.428,0.0,2002-01-25 00:00:00+00:00,-0.0001302977598032022
2002-01-28 00:00:00+00:00,1112.835,1112.835,1112.835,1112.835,0.0,2002-01-28 00:00:00+00:00,-0.06439481834966057
2002-01-29 00:00:00+00:00,1140.377,1140.377,1140.377,1140.377,0.0,2002-01-29 00:00:00+00:00,0.02474940130387696
2002-01-30 00:00:00+00:00,1145.855,1145.855,1145.855,1145.855,0.0,2002-01-30 00:00:00+00:00,0.004803674574285579
2002-01-31 00:00:00+00:00,1221.76,1221.76,1221.76,1221.76,0.0,2002-01-31 00:00:00+00:00,0.06624311103935487
2002-02-01 00:00:00+00:00,1215.743,1215.743,1215.743,1215.743,0.0,2002-02-01 00:00:00+00:00,-0.004924862493452112
2002-02-04 00:00:00+00:00,1236.969,1236.969,1236.969,1236.969,0.0,2002-02-04 00:00:00+00:00,0.017459282101562678
2002-02-05 00:00:00+00:00,1246.842,1246.842,1246.842,1246.842,0.0,2002-02-05 00:00:00+00:00,0.007981606653036613
2002-02-06 00:00:00+00:00,1216.788,1216.788,1216.788,1216.788,0.0,2002-02-06 00:00:00+00:00,-0.024104096589624095
2002-02-07 00:00:00+00:00,1241.023,1241.023,1241.023,1241.023,0.0,2002-02-07 00:00:00+00:00,0.019917191819774603
2002-02-08 00:00:00+00:00,1235.092,1235.092,1235.092,1235.092,0.0,2002-02-08 00:00:00+00:00,-0.00477912174069281
2002-02-25 00:00:00+00:00,1254.611,1254.611,1254.611,1254.611,0.0,2002-02-25 00:00:00+00:00,0.015803681021332828
